*Version 1.0 of the SI datasets 1-3 - created by SR and NC, January 6, 2015

The columns give the following information, as indicated by the header row label:
(1) Column: column number in SI dataset 1
(2) Phoneme: phoneme presented in Unicode
(3) Number_of_occurrences: frequency with which the phoneme is observed across 2082 languages in SI dataset 1
(4) Consonant: a boolean indicator; 1 indicates the phoneme in column (2) is a consonant
(5) Vowel: a boolean indicator; 1 indicates the phoneme in column (2) is a vowel
(6) Modified_consonant: 1 indicates the phoneme in column (2) is a modified consonant
(7) Modified_Vowel: 1 indicates the phoneme in column (2) is a modified consonants
(8) Click: 1 indicates the phoneme in column (2) is a click

Columns 6-8 in SI dataset 2 were used for some regression analyses (See SI Appendix section 3.2 and Table S8 for more information). See SI Appendix section 1.2 ``Modified consonants and modified vowels'' for more details about columns 6 and 7.


Column	Phoneme	Number_of_occurrences	Consonant	Vowel	Modified_consonant	Modified_Vowel	Click
501	v̆	2	0	0	0	1	0
502	v˜	462	0	0	0	1	0
503	v̰ː	6	0	0	0	1	0
504	v̥	4	0	0	0	1	0
505	v˜̤	4	0	0	0	1	0
506	v˜ː	111	0	0	0	1	0
507	̱vː	1	0	0	0	1	0
508	v̅	3	0	0	0	1	0
509	vᶛ	5	0	0	0	1	0
510	v̰	31	0	0	0	1	0
511	v̤ː	8	0	0	0	1	0
512	vˀ	3	0	0	0	1	0
513	mˡ	5	1	0	0	0	0
514	n̪̥	0	1	0	0	0	0
515	n̥˜	5	1	0	0	0	0
516	n̥	63	1	0	0	0	0
517	ˀn˜	3	1	0	0	0	0
518	ŋm	40	1	0	0	0	0
519	ṇ̥	2	1	0	0	0	0
520	nʱ	1	1	0	0	0	0
521	ŋ̥ʷ	1	1	0	0	0	0
522	ˀn̪	0	1	0	0	0	0
523	ŋʷ	29	1	0	0	0	0
524	m	2044	1	0	0	0	0
525	n	2050	1	0	0	0	0
526	ˀŋʷ	1	1	0	0	0	0
527	ŋˀ	2	1	0	0	0	0
528	ṇ	142	1	0	0	0	0
529	m̥	56	1	0	0	0	0
530	mʷ	4	1	0	0	0	0
531	nˀ	7	1	0	0	0	0
532	ˀm	41	1	0	0	0	0
533	nm	0	1	0	0	0	0
534	ɱ	1	1	0	0	0	0
535	ˀn	40	1	0	0	0	0
536	mʱ	1	1	0	0	0	0
537	N	14	1	0	0	0	0
538	mᶛ	1	1	0	0	0	0
539	nʲ	4	1	0	0	0	0
540	mˀ	8	1	0	0	0	0
541	ŋᵚ	1	1	0	0	0	0
542	n̤	10	1	0	0	0	0
543	n̪ᵚ	1	1	0	0	0	0
544	mn˜	0	1	0	0	0	0
545	n˜	801	1	0	0	0	0
546	ṇ̤	1	1	0	0	0	0
547	ŋ^	3	1	0	0	0	0
548	ŋʲ	1	1	0	0	0	0
549	n̯	57	1	0	0	0	0
550	ŋ̥ʲ	1	1	0	0	0	0
551	m̥ˡ	3	1	0	0	0	0
552	ˀŋ	6	1	0	0	0	0
553	ŋ	1206	1	0	0	0	0
554	n˜̥	24	1	0	0	0	0
555	m̤	10	1	0	0	0	0
556	n̪	27	1	0	0	0	0
557	nʷ	0	1	0	0	0	0
558	mᵚ	1	1	0	0	0	0
559	ŋ̥	30	1	0	0	0	0
560	kʷ	181	1	0	0	0	0
561	ɗ̪	1	1	0	0	0	0
562	ɡ̤	49	1	0	0	0	0
563	ᴳqʰ	1	1	0	0	0	0
564	ʔ	898	1	0	0	0	0
565	t̪	53	1	0	0	0	0
